START_OF_15MIN_EET,RES_LIMIT,AVAILABLE_GENERATION
08-09-24 10:30,1526,1524
08-09-24 10:45,1460,1457
08-09-24 11:00,1460,1451
08-09-24 11:15,1460,1444
08-09-24 11:30,1378,1395
08-09-24 11:45,1360,1351
08-09-24 12:00,1182,1175
08-09-24 12:15,1160,1157
08-09-24 12:30,1160,1151
08-09-24 12:45,1063,1071
08-09-24 13:00,984,1006
08-09-24 13:15,960,948
08-09-24 13:30,960,923
08-09-24 13:45,912,973
08-09-24 14:00,860,834
08-09-24 14:15,860,848
08-09-24 14:30,860,861
08-09-24 14:45,860,854
08-09-24 15:00,1109,966
08-09-24 15:15,1353,1156
08-09-24 15:30,1489,1256
08-09-24 15:45,1608,1436
08-09-24 16:00,1760,1615
08-09-24 16:15,1806,1675
08-09-24 16:30,8143,1709
14-09-24 10:00,8643,173
14-09-24 10:15,2270,2309
14-09-24 10:30,2062,2065
14-09-24 10:45,1870,1891
14-09-24 11:00,1872,1857
14-09-24 11:15,2068,1978
14-09-24 11:30,2070,2047
14-09-24 11:45,2070,2050
14-09-24 12:00,2070,2014
14-09-24 12:15,2050,2015
14-09-24 12:30,1970,1972
14-09-24 12:45,1970,1954
14-09-24 13:00,1944,1916
14-09-24 13:15,1781,1813
14-09-24 13:30,1723,1746
14-09-24 13:45,1670,1666
14-09-24 14:00,1670,1662
14-09-24 14:15,1666,1620
14-09-24 14:30,1670,1635
14-09-24 14:45,1670,1638
14-09-24 15:00,1492,1532
14-09-24 15:15,1370,1373
14-09-24 15:30,1411,1375
14-09-24 15:45,1570,1480
14-09-24 16:00,1783,1633
14-09-24 16:15,1943,1816
14-09-24 16:30,1970,1932
14-09-24 16:45,2014,1877
14-09-24 17:00,2200,2018
14-09-24 17:15,2200,2016
14-09-24 17:30,3270,2199
15-09-24 9:30,5905,678
15-09-24 9:45,1098,1168
15-09-24 10:00,1000,987
15-09-24 10:15,1000,991
15-09-24 10:30,802,903
15-09-24 10:45,800,774
15-09-24 11:00,800,848
15-09-24 11:15,800,789
15-09-24 11:30,799,779
15-09-24 11:45,700,714
15-09-24 12:00,919,801
15-09-24 12:15,1000,948
15-09-24 12:30,1100,1042
15-09-24 12:45,1100,1075
15-09-24 13:00,1100,1098
15-09-24 13:15,1096,1083
15-09-24 13:30,942,1006
15-09-24 13:45,900,885
15-09-24 14:00,900,907
15-09-24 14:15,900,879
15-09-24 14:30,900,890
15-09-24 14:45,956,903
15-09-24 15:00,1172,1046
15-09-24 15:15,1200,1164
15-09-24 15:30,1200,1200
15-09-24 15:45,1200,1175
15-09-24 16:00,1200,1173
15-09-24 16:15,1243,1191
15-09-24 16:30,2191,1278
21-09-24 10:45,4108,1405
21-09-24 11:00,1782,1789
21-09-24 11:15,1597,1609
21-09-24 11:30,1352,1397
21-09-24 11:45,1232,1280
21-09-24 12:00,1027,1092
21-09-24 12:15,900,943
21-09-24 12:30,800,811
21-09-24 12:45,800,795
21-09-24 13:00,800,792
21-09-24 13:15,800,792
21-09-24 13:30,868,778
21-09-24 13:45,1000,944
21-09-24 14:00,953,987
21-09-24 14:15,868,881
21-09-24 14:30,800,788
21-09-24 14:45,800,780
21-09-24 15:00,800,779
21-09-24 15:15,909,846
21-09-24 15:30,1061,996
21-09-24 15:45,1269,1152
21-09-24 16:00,1300,1272
21-09-24 16:15,1347,1304
21-09-24 16:30,1400,1374
21-09-24 16:45,1635,1447
21-09-24 17:00,3839,1821
